Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
323,Doug Overton,PG,27,PHI,61,4,634,4.6,10.8,0.426,0.6,2.3,0.25,4,8.5,0.473,2.6,2.7,0.938,1,2.8,3.9,5.7,1.4,0,2.2,2.5,12.3
324,Doug Smith,PF,22,DAL,76,32,1707,6.1,14.8,0.415,0,0.2,0,6.1,14.6,0.421,1.9,2.6,0.736,2.7,5.5,8.2,2.7,1.3,0.7,2,5.5,14.2
325,Doug West,SG,29,MIN,68,66,1920,4.2,9.1,0.467,0.3,0.8,0.333,4,8.2,0.481,1.2,1.8,0.681,0.7,2.1,2.8,2.1,1.1,0.5,1.2,4.1,10
326,Doug West,SG,24,MIN,80,72,2540,6.6,12.7,0.518,0.1,0.3,0.174,6.5,12.3,0.527,2.6,3.3,0.805,1.5,2.1,3.6,4,0.9,0.4,1.7,3.4,15.8
327,Dragan Tarlac,C,27,CHI,43,12,598,2.3,6,0.394,0,0,,2.3,6,0.394,1.5,2,0.758,2.2,5.1,7.3,1.9,0.4,1.1,2.3,5.7,6.2
328,Draymond Green,SF,23,GSW,82,12,1797,3.7,9.2,0.407,1.1,3.3,0.333,2.6,5.9,0.449,1.6,2.5,0.667,1.7,6.5,8.2,3,2,1.4,1.8,4.6,10.2
329,Drazen Petrovic*,SG,27,NJN,82,82,3027,7.9,15.6,0.508,1.5,3.3,0.444,6.5,12.3,0.525,2.8,3.4,0.808,1.2,1.9,3.1,3,1.2,0.1,2.6,2.9,20.1
330,Drew Gooden,C,32,WAS,22,0,395,6.9,13,0.531,0.6,1.5,0.412,6.3,11.5,0.548,2.2,2.5,0.889,3.4,7,10.4,1.4,0.9,0.6,1.5,4.8,16.7
331,Drew Gooden,PF,26,CLE,51,51,1564,5.3,12,0.444,0,0.1,0,5.3,12,0.446,2.5,3.5,0.728,2.7,7,9.7,1.2,0.8,0.7,2.1,3.3,13.2
332,Drew Gooden,PF,26,TOT,69,65,2122,5.6,12.6,0.449,0,0.1,0,5.6,12.5,0.452,2.7,3.6,0.753,3,7,10,1.4,0.8,0.9,2.1,3.4,14
333,Duane Causwell,C,32,MIA,31,14,384,3,8,0.376,0,0,,3,8,0.376,1.1,2.3,0.48,2.2,5.6,7.8,0.5,0.7,1.7,2.2,6.3,7.1
334,Duane Causwell,C,28,SAC,46,8,581,3,5.8,0.511,0.1,0.2,0.667,2.9,5.6,0.505,1.2,2.3,0.541,3.5,4.3,7.9,1.2,0.9,2.4,2.1,8.1,7.3
335,Duane Causwell,C,23,SAC,80,77,2291,3.9,7.1,0.549,0,0,0,3.9,7.1,0.551,2.1,3.5,0.613,3.1,6,9.1,0.9,0.7,3.4,1.9,4.4,10
336,Duane Ferrell,SF,31,IND,62,18,1115,5.1,10.9,0.472,0.6,1.4,0.409,4.6,9.5,0.481,1.9,3,0.617,1.8,2.7,4.6,2.1,1.2,0.2,1.8,3.9,12.7
337,Duane Ferrell,SF,26,ATL,66,12,1598,7.5,14.2,0.524,0.2,0.7,0.333,7.2,13.5,0.534,3.7,4.9,0.761,2.4,2.4,4.7,2.1,1.1,0.4,2.2,3,18.9
338,Dwayne Jones,PF,24,CLE,56,0,472,1.9,3.6,0.532,0,0.1,0,1.9,3.5,0.543,2.1,4.4,0.483,5.3,5.4,10.7,0.8,0.8,1.9,1.3,6.7,5.9
339,Dwayne Schintzius,C,23,SAC,33,0,400,4.5,10.5,0.427,0,0.4,0,4.5,10.2,0.442,0.9,1.1,0.833,3.9,6.8,10.6,1.8,0.5,2.5,1.7,6,9.9
340,Dwight Howard,C,28,HOU,71,71,2396,7.1,12,0.591,0,0.1,0.286,7.1,11.9,0.594,5.2,9.6,0.547,3.5,9.5,13,2,0.9,1.9,3.4,3.6,19.5
341,Dwight Howard,C,22,ORL,82,82,3088,6.8,11.4,0.599,0,0,0,6.8,11.3,0.601,6.2,10.5,0.59,3.3,10.3,13.5,1.3,0.9,2.1,3.1,3.2,19.8
342,Dwyane Wade,SG,26,MIA,51,49,1954,8.1,17.3,0.469,0.4,1.4,0.286,7.7,15.8,0.485,6.5,8.6,0.758,0.8,3.1,3.9,6.5,1.6,0.7,4.1,2.5,23.1
343,Dwyane Wade,SG,32,MIA,54,53,1775,8.4,15.4,0.545,0.2,0.6,0.281,8.2,14.8,0.557,3.8,5.2,0.733,1.2,3.7,4.9,5.1,1.6,0.6,3.3,2.1,20.8
