Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
915,LaBradford Smith,SG,22,WSB,48,5,708,5.1,12.5,0.407,0.1,1.1,0.095,5,11.4,0.436,2.3,2.8,0.804,1.5,2.6,4.1,5,2.2,0.1,3.2,5,12.6
916,Lamar Odom,PF,21,LAC,76,74,2836,6.1,13.3,0.46,1,3.2,0.316,5.1,10.1,0.506,3.3,4.9,0.679,1.4,6.1,7.5,5,0.9,1.5,3.4,3,16.6
917,Lamar Odom,PF,28,LAL,77,77,2921,5.1,9.8,0.525,0.4,1.4,0.274,4.8,8.4,0.566,2.8,4,0.698,2.4,7.7,10.1,3.4,0.9,0.9,1.9,2.7,13.5
918,LaMarcus Aldridge,PF,28,POR,69,69,2498,9.4,20.5,0.458,0,0.2,0.2,9.4,20.3,0.461,4.3,5.2,0.822,2.4,8.6,11,2.6,0.9,1,1.8,2.1,23.1
919,LaMarcus Aldridge,PF,22,POR,76,76,2649,7.6,15.8,0.484,0,0.1,0.143,7.6,15.7,0.486,3.1,4,0.762,3,4.9,7.9,1.7,0.7,1.3,1.7,3.3,18.3
920,Lamond Murray,SF,23,LAC,74,1,1295,5,12.1,0.416,0.9,2.5,0.341,4.2,9.6,0.436,4.3,5.9,0.739,2.4,4.1,6.5,1.6,1.5,0.8,2.4,3.1,15.3
921,Lamond Murray,SF,27,CLE,78,46,2225,6.3,15,0.423,1,2.7,0.37,5.3,12.3,0.434,2.5,3.4,0.735,1.7,3.8,5.5,2,1.3,0.4,2.3,2.8,16.1
922,Lance Blanks,SG,25,DET,43,0,189,4.8,10.5,0.455,1.1,3,0.375,3.6,7.4,0.487,1.5,2.1,0.727,1.7,2.5,4.2,3.6,2.7,0.2,2.7,5,12.2
923,Lance Stephenson,SG,23,IND,78,78,2752,5.6,11.4,0.491,1.1,3.2,0.352,4.5,8.2,0.545,1.8,2.6,0.711,1.2,6.1,7.3,4.7,0.7,0.1,2.7,2.6,14.1
924,Landry Fields,SF,25,TOR,30,2,322,3,7.5,0.403,0,0.6,0,3,6.9,0.435,1.6,2.5,0.636,1.7,4.9,6.6,2.2,1.1,0.3,1.2,2.8,7.6
925,LaPhonso Ellis,PF,26,DEN,55,49,2002,8,18.2,0.439,1.7,4.7,0.367,6.3,13.6,0.464,3.9,5.1,0.773,1.9,5,6.9,2.4,0.8,0.7,2.1,3.3,21.6
926,LaPhonso Ellis,PF,30,MIN,82,5,1948,5.5,11.9,0.464,0.1,0.4,0.318,5.4,11.5,0.469,3.1,4,0.79,3.7,5.5,9.1,1.7,1.2,1.4,2,5.4,14.3
927,Laron Profit,PG,23,WAS,35,12,605,3.3,8.4,0.394,0.4,1.5,0.269,2.9,6.9,0.422,2,2.7,0.733,1.1,2.7,3.8,5.3,2.1,0.7,2.7,2.6,9
928,Larry Bird*,SF,35,BOS,45,45,1662,7.6,16.4,0.466,1.1,2.8,0.406,6.5,13.6,0.478,3.2,3.5,0.926,1,8.4,9.4,6.6,0.9,0.7,2.7,1.8,19.7
929,Larry Hughes,SG,29,CHI,28,25,810,5.6,14.4,0.387,1.1,3,0.353,4.5,11.3,0.396,2.8,3.6,0.775,0.5,3.3,3.9,3.9,1.7,0.3,2,2.1,14.9
930,Larry Hughes,PG,29,CLE,40,32,1210,5.4,14.2,0.377,1.3,3.7,0.341,4.1,10.5,0.389,2.6,3.2,0.815,0.8,3.5,4.3,2.8,1.8,0.3,2.1,2.7,14.6
931,Larry Hughes,SG,22,GSW,50,45,1846,6,15.7,0.383,0.3,1.5,0.187,5.7,14.2,0.403,3.8,4.9,0.766,1.5,3.9,5.4,4.3,1.9,0.6,3,2.9,16
932,Larry Hughes,PG-SG,29,TOT,68,57,2020,5.4,14.3,0.381,1.2,3.5,0.345,4.2,10.8,0.392,2.7,3.4,0.798,0.7,3.4,4.1,3.2,1.8,0.3,2.1,2.5,14.7
933,Larry Johnson,PF,31,NYK,65,65,2105,4.2,10.2,0.411,0.9,2.8,0.313,3.3,7.4,0.448,1.7,2.2,0.797,1.5,4.7,6.2,2.2,0.7,0.5,1.7,3.6,11
934,Larry Johnson,SF,27,NYK,76,76,2613,5.2,10.1,0.512,0.5,1.4,0.324,4.7,8.7,0.543,2.6,3.8,0.693,2.3,3.1,5.4,2.4,0.9,0.5,1.9,3.4,13.4
935,Larry Johnson,PF,22,CHH,82,77,3047,7.3,14.9,0.49,0.1,0.3,0.227,7.2,14.6,0.494,4,4.8,0.829,3.8,6.8,10.6,3.4,1,0.6,1.9,2.7,18.6
936,Larry Krystkowiak,PF,27,MIL,79,16,1848,5.7,12.9,0.444,0,0.1,0,5.7,12.8,0.447,2.5,3.3,0.757,2.6,5.8,8.4,2.2,1.1,0.2,2.2,4.2,13.9
937,Larry Nance,PF,32,CLE,81,81,2880,6.9,12.9,0.539,0,0.1,0,6.9,12.8,0.542,3.3,4,0.822,2.7,5.7,8.4,2.9,1,3,1.1,2.5,17.2
938,Larry Robinson,PG,33,ATL,33,1,631,3.8,10.5,0.364,2.5,6.6,0.379,1.3,3.9,0.338,1.2,1.4,0.875,1.3,3.7,5,2.1,1.6,0.1,1.4,2.6,11.4
939,Larry Robinson,PG-SG,33,TOT,34,1,632,3.8,10.5,0.364,2.5,6.6,0.379,1.3,3.9,0.338,1.2,1.4,0.875,1.3,3.6,5,2.1,1.6,0.1,1.4,2.6,11.3
940,Larry Sanders,C,25,MIL,23,20,584,4.7,10,0.469,0,0.1,0,4.7,9.9,0.472,1.6,3.4,0.473,3.7,6.5,10.2,1.2,1.1,2.5,1.6,4.6,11
941,Larry Smith,PF,34,HOU,45,7,800,2.3,4.1,0.543,0,0,0,2.3,4.1,0.549,0.2,0.5,0.364,4.8,6.7,11.5,1.5,0.9,0.3,2,5.4,4.7
942,Larry Stewart,SF,28,SEA,70,21,982,4.1,9.2,0.444,0.3,1.4,0.243,3.8,7.9,0.479,2.5,3.4,0.72,2.7,3.5,6.3,1.9,1.1,0.8,2.3,4,11
943,Larry Stewart,PF,23,WSB,76,43,2229,4.9,9.5,0.514,0,0,0,4.9,9.5,0.516,3,3.8,0.807,3,4.2,7.3,1.9,0.8,0.7,1.8,3.6,12.8
944,LaSalle Thompson,C,35,TOT,26,0,140,0.8,4.9,0.158,0,0,,0.8,4.9,0.158,1,1.5,0.667,1.8,6.9,8.7,0.5,0.8,1.5,2.3,8.5,2.6
945,LaSalle Thompson,C,30,IND,80,49,1299,4.7,9.9,0.468,0,0.1,0,4.7,9.9,0.471,1.6,2,0.817,2.7,7.8,10.6,2.8,1.4,0.9,2.7,5.7,10.9
946,Latrell Sprewell,SF,30,NYK,77,77,3017,6.3,14.5,0.43,0.5,1.6,0.304,5.8,12.9,0.446,3.3,4.2,0.783,0.6,3.6,4.1,3.2,1.3,0.3,2.6,1.9,16.3
947,Latrell Sprewell,SG,26,GSW,80,79,3353,7,15.5,0.449,1.6,4.5,0.354,5.4,11,0.488,5.3,6.3,0.843,0.6,3.3,3.9,5.4,1.4,0.5,3.5,1.6,20.8
948,Lavor Postell,SG,22,NYK,26,0,169,3.6,11.5,0.315,0.6,2.3,0.273,3,9.2,0.326,4.7,5.8,0.815,1.7,3.6,5.3,1.1,0.9,0.4,3.6,2.6,12.6
949,Lavoy Allen,PF,24,TOT,65,2,1072,4.5,10.1,0.447,0.1,0.4,0.154,4.4,9.6,0.46,1.1,1.7,0.66,4,6.4,10.4,2.4,0.8,1.1,1.5,4.2,10.2
950,Lawrence Funderburke,PF,30,SAC,59,2,698,6.2,12.5,0.496,0,0,,6.2,12.5,0.496,2.5,4,0.623,3.8,6.3,10.1,0.9,0.5,0.7,1.7,2.3,14.9
951,Lawrence Moten,SG,24,VAN,67,18,1214,5.1,13.1,0.388,1.2,4.2,0.291,3.9,8.9,0.433,1.9,2.9,0.646,1.3,2.3,3.5,3.8,1.4,0.7,2.4,2.5,13.3
952,Leandro Barbosa,PG,31,PHO,20,0,368,5.5,12.8,0.427,0.7,2.4,0.28,4.8,10.4,0.462,3,3.8,0.795,0.5,3.1,3.6,3.1,0.7,0.4,1.9,2.9,14.7
953,Leandro Barbosa,SG,25,PHO,82,12,2421,7,15.2,0.462,2.4,6.3,0.389,4.6,8.9,0.514,2.6,3.2,0.822,0.6,2.8,3.4,3.2,1.1,0.3,1.7,2.9,19.1
954,LeBron James,SF,23,CLE,75,74,3027,9.4,19.5,0.484,1.3,4.3,0.315,8.1,15.3,0.531,6.5,9.2,0.712,1.6,5.5,7,6.4,1.6,1,3,2,26.8
955,LeBron James,PF,29,MIA,77,77,2902,9.5,16.8,0.567,1.4,3.8,0.379,8.1,13,0.622,5.4,7.3,0.75,1,5.6,6.6,6.1,1.5,0.3,3.3,1.6,25.9
956,Ledell Eackles,SG,25,WSB,65,25,1463,8.7,18.7,0.468,0.2,0.9,0.2,8.6,17.8,0.481,3.4,4.6,0.743,1,3.4,4.4,3.1,1.2,0.2,1.8,3.6,21.1
957,Lee Mayberry,PG,26,VAN,80,38,1952,2.7,6.8,0.403,1.5,4.1,0.376,1.2,2.7,0.443,0.5,0.8,0.63,0.5,1.9,2.5,6.1,1.1,0.1,1.7,2.9,7.6
958,Lee Nailon,SF,25,CHH,42,0,469,5.1,10.4,0.485,0,0.1,0,5.1,10.4,0.489,2.5,3.3,0.744,2.2,4.8,7.1,1.8,0.7,0.4,2.1,4.6,12.6
959,Leon Powe,C,24,BOS,56,5,809,6.9,12,0.572,0,0,0,6.9,11.9,0.575,6.1,8.6,0.71,4.2,5.9,10.1,0.7,0.7,0.7,1.9,5.7,19.8
960,LeRon Ellis,C,22,LAC,29,0,103,5.9,17.5,0.34,0,0,,5.9,17.5,0.34,3.1,6.6,0.474,4.2,4.2,8.4,0.3,2.1,3.1,3.8,3.8,15
961,Les Jepsen,C,24,SAC,31,0,87,3.7,9.9,0.375,0,0.4,0,3.7,9.5,0.391,2.9,4.6,0.636,5,7.4,12.4,0.4,0.4,2.1,1.2,7,10.3
962,Lester Conner,PG,32,MIL,81,9,1420,2.6,6.1,0.431,0,0.2,0,2.6,5.9,0.444,2.1,2.9,0.704,1.6,3.1,4.7,7.5,2.5,0.3,2,2.2,7.3
963,Linas Kleiza,SF,23,DEN,79,13,1889,5.9,12.6,0.472,1.8,5.3,0.339,4.1,7.3,0.568,3.1,4.1,0.77,1.8,4.6,6.3,1.8,0.8,0.4,1.7,3.4,16.8
964,Lindsey Hunter,PG,37,DET,24,0,215,3.7,10.7,0.344,1.2,4.4,0.269,2.5,6.4,0.395,1.2,1.5,0.778,0.7,1.5,2.2,5.5,2.2,0.3,2.2,5,9.7
965,Lindsey Hunter,PG,30,MIL,82,5,2002,5.4,14.1,0.381,2.7,7.3,0.373,2.6,6.8,0.388,1.4,1.7,0.802,0.6,2.5,3,4,1.8,0.2,1.2,3.1,14.8
966,Lindsey Hunter,PG,26,DET,82,76,3023,5,12.4,0.404,2,5.6,0.355,3,6.8,0.444,1.9,2.4,0.778,0.7,2.1,2.8,1.8,1.5,0.3,1.1,2.5,13.9
967,Lionel Simmons,SF,28,SAC,41,0,521,3.1,9.4,0.331,0.5,2.1,0.233,2.6,7.3,0.358,2.9,3.3,0.875,2.1,5.1,7.2,3.9,0.6,0.9,2.3,4.4,9.6
968,Lionel Simmons,SF,23,SAC,78,78,2895,6.6,14.4,0.454,0,0.1,0.2,6.5,14.4,0.455,3.5,4.5,0.77,1.9,6,7.9,4.2,1.7,1.6,2.7,2.5,16.6
969,Litterial Green,PG,26,DET,45,0,311,3.5,7.4,0.469,0,1.2,0,3.5,6.3,0.556,3.5,5.4,0.638,0.7,1.9,2.5,4.7,1.9,0.1,1.7,3.1,10.4
970,Lloyd Daniels,SG,29,TOT,22,0,310,4.2,13.8,0.303,2.4,8.1,0.3,1.7,5.7,0.306,0.6,0.7,0.833,2.2,2.8,5,3,1.2,0.3,1.6,3.8,11.4
971,Loren Meyer,PF,24,PHO,35,17,449,5.9,13.3,0.446,0.2,0.4,0.6,5.7,12.9,0.441,3,4.2,0.712,3.1,4.6,7.7,1,0.4,1,2.8,5.9,15.1
972,Loren Meyer,PF,24,TOT,54,33,708,5.5,12.4,0.443,0.2,0.4,0.571,5.3,12.1,0.439,2.3,3.3,0.719,2.7,4.7,7.4,1,0.6,0.8,3.2,6.4,13.5
973,Lorenzen Wright,C,25,ATL,71,46,1988,6.6,14.7,0.448,0,0,0,6.6,14.6,0.449,2.8,3.9,0.718,3.3,6.4,9.7,1.6,0.8,1.1,2.3,4.2,16
974,Lorenzen Wright,C,21,LAC,77,51,1936,4.4,9.1,0.481,0,0.1,0.25,4.4,9.1,0.483,1.6,2.8,0.587,3.8,4.9,8.8,0.9,0.9,1.1,1.5,3.9,10.4
975,Lorenzo Brown,PG,23,PHI,26,0,224,4.2,13.8,0.302,0.5,4.8,0.1,3.7,9,0.411,1.4,2.1,0.692,1.3,3.2,4.5,6.6,2.1,0.5,2.6,3.1,10.3
976,Lou Williams,PG,27,ATL,60,7,1445,4.9,12.3,0.4,2,5.8,0.342,2.9,6.5,0.45,3.8,4.5,0.849,0.2,2.8,3.1,5.2,1.1,0.1,2.3,1.6,15.6
977,Louis Williams,PG,21,PHI,80,0,1862,6.2,14.5,0.424,1.1,3,0.359,5.1,11.6,0.441,4.4,5.6,0.783,0.8,2.4,3.2,4.9,1.6,0.3,2.4,2.5,17.8
978,Loy Vaught,PF,32,DAL,37,1,392,5.1,11.1,0.455,0,0,,5.1,11.1,0.455,0.4,0.6,0.667,3.2,8.1,11.3,1.5,1.4,0.5,1.7,5.6,10.5
979,Loy Vaught,PF,32,TOT,51,1,549,5.2,11.1,0.473,0,0,,5.2,11.1,0.473,0.5,0.7,0.8,3.3,8,11.3,1.5,1.4,0.5,1.7,4.9,11
980,Loy Vaught,PF,23,LAC,79,38,1687,5.8,11.8,0.492,0.1,0.1,0.8,5.7,11.7,0.489,1.2,1.5,0.797,3.4,7.5,10.9,1.5,0.8,0.7,1.4,3.5,12.8
981,Loy Vaught,PF,28,LAC,82,82,2838,6.9,13.8,0.5,0,0.2,0.167,6.8,13.6,0.504,1.7,2.4,0.702,2.8,7.5,10.4,1.4,1.1,0.3,1.7,3.1,15.5
982,Luc Longley,C,32,NYK,25,2,301,2.2,6.5,0.333,0,0,,2.2,6.5,0.333,1.6,2,0.765,3.1,4.8,7.9,0.8,0.4,1.1,2.6,6.1,5.9
983,Luc Longley,C,28,CHI,59,59,1472,5.4,11.9,0.456,0,0,0,5.4,11.8,0.458,2.3,2.9,0.792,3,5.2,8.1,3.4,0.6,1.6,2.7,4.7,13.1
984,Luc Longley,C,23,MIN,66,3,991,4.1,9,0.458,0,0,,4.1,9,0.458,1.9,2.9,0.663,2.4,6.9,9.3,1.9,1.3,2.3,3,5.7,10.2
985,Luc Mbah a Moute,PF-SF,27,TOT,64,7,1003,3.1,6.9,0.451,0.1,0.6,0.235,3,6.3,0.472,1.7,2.4,0.687,2,3.2,5.2,1.3,1.1,0.5,1.4,2.4,8
986,Lucious Harris,SG,26,PHI,54,3,813,5,13,0.381,1.6,4.4,0.364,3.4,8.6,0.39,1.5,2.1,0.702,1.2,1.9,3.1,2.2,1.8,0.1,1.5,2,13
987,Lucious Harris,SG,30,NJN,73,50,2071,4.6,10.8,0.425,0.8,2.3,0.348,3.8,8.6,0.445,1.9,2.4,0.77,1.2,3.8,5,2.3,1.3,0.3,1.1,2.2,11.9
988,Luigi Datome,SF,26,DET,34,0,238,5.1,14.7,0.351,1.1,5.9,0.179,4.1,8.8,0.466,1.2,1.5,0.8,2.1,4.8,7,1.7,0.9,0.2,1.7,3,12.6
989,Luis Scola,PF,33,IND,82,2,1399,6.8,14.4,0.47,0,0.2,0.143,6.7,14.2,0.474,2.5,3.5,0.728,2.2,7.8,10.1,2.1,0.7,0.4,2.8,4.2,16.1
990,Luis Scola,PF,27,HOU,82,39,2024,6.1,11.9,0.515,0,0.1,0,6.1,11.9,0.517,2.8,4.2,0.668,3.1,6.2,9.3,1.9,1.1,0.3,1.9,4.2,15.1
991,Luke Babbitt,PF,24,NOP,27,2,473,4.6,11.7,0.39,2.7,7.2,0.379,1.8,4.5,0.407,1.1,1.4,0.778,1.4,5.3,6.7,2.2,0.5,0.8,1.1,4,12.9
992,Luke Ridnour,PG,32,TOT,61,14,1141,4,10.3,0.385,1.2,3.4,0.343,2.8,6.9,0.406,0.5,0.8,0.654,0.7,2.3,3.1,5.6,1,0.3,2.1,2.9,9.7
993,Luke Ridnour,PG,26,SEA,61,5,1223,4.3,10.8,0.399,0.6,2.1,0.296,3.7,8.7,0.424,2.3,2.7,0.857,0.4,2.4,2.8,7.1,1.1,0.4,2.4,3.5,11.6
994,Luke Walton,SF,27,LAL,74,31,1729,4.5,10,0.45,0.6,1.7,0.333,3.9,8.2,0.475,1.6,2.3,0.706,1.8,4.3,6.1,4.5,1.2,0.4,2.1,2.8,11.1
995,Luol Deng,SF,28,TOT,63,63,2213,6,14,0.431,0.9,3.1,0.302,5.1,10.9,0.468,3.4,4.4,0.791,1.6,4.3,5.9,3,1,0.1,1.9,1.8,16.4
996,Luol Deng,SF,22,CHI,63,59,2128,7.3,15.2,0.479,0.1,0.4,0.364,7.1,14.8,0.482,3.5,4.5,0.77,2.3,4.4,6.7,2.6,1,0.5,2,2,18.1
997,Luther Head,SG,25,HOU,73,17,1379,5.4,12.5,0.432,2.1,5.9,0.351,3.3,6.6,0.504,1.7,2.1,0.815,0.5,3.1,3.5,3.6,1.1,0.2,1.8,2,14.5
998,Mahmoud Abdul-Rauf,PG,31,VAN,41,0,486,8.9,18.2,0.488,0.3,1,0.286,8.6,17.2,0.5,1.6,2.1,0.759,0.4,1.5,1.9,5.6,0.7,0.1,1.9,3.7,19.7
999,Mahmoud Abdul-Rauf,PG,27,SAC,75,51,2131,6.9,15.6,0.445,1.6,4.2,0.382,5.4,11.5,0.468,1.9,2.3,0.846,0.3,1.8,2.1,3.2,0.9,0.1,2,2.9,17.4
1000,Mahmoud Abdul-Rauf,PG,22,DEN,81,11,1538,8.3,19.8,0.421,0.7,2.2,0.33,7.6,17.6,0.433,2.2,2.5,0.87,0.5,2.2,2.7,4.5,1,0.1,2.7,3,19.6
1001,Malik Allen,PF,29,DAL,25,4,333,3.6,7.1,0.5,0,0,,3.6,7.1,0.5,1.2,1.3,0.917,2.6,4.8,7.4,1.6,0.4,1.1,1.4,6.5,8.3
1002,Malik Allen,PF,29,NJN,48,12,763,5.9,12.3,0.475,0,0.1,0.5,5.8,12.2,0.475,0.6,0.6,0.923,2,4.1,6,1.4,0.7,1,1.5,4.2,12.3
1003,Malik Allen,PF,29,TOT,73,16,1096,5.2,10.7,0.48,0,0.1,0.5,5.1,10.7,0.48,0.8,0.8,0.92,2.2,4.3,6.4,1.4,0.6,1,1.5,4.9,11.1
1004,Malik Rose,PF,33,NYK,49,3,494,4.8,13.1,0.367,0.1,0.5,0.286,4.7,12.6,0.37,2.7,3.7,0.725,2.3,5.2,7.5,2,1.2,0.5,2.9,5.8,12.5
1005,Malik Rose,PF,22,CHH,54,1,525,4.2,8.8,0.477,0,0.1,0,4.2,8.6,0.484,2.6,4.3,0.613,4.8,6.4,11.2,2.2,1.9,1.2,2.8,7.8,11
1006,Malik Rose,PF,26,SAS,57,9,1219,4.7,10.9,0.435,0.1,0.5,0.176,4.6,10.4,0.447,3.4,4.7,0.713,2.8,6.3,9.1,1.4,1.7,1.2,2.2,4.4,12.9
1007,Malik Sealy,SG,26,LAC,80,79,2456,5.5,13.8,0.396,1.2,3.3,0.356,4.3,10.6,0.408,3.7,4.3,0.876,0.9,2.6,3.5,2.4,1.8,0.7,2.3,2.7,15.8
1008,Manu Ginobili,SG,36,SAS,68,3,1550,6.8,14.6,0.469,2.1,6,0.349,4.7,8.6,0.553,3.7,4.4,0.851,0.7,4,4.7,6.8,1.6,0.4,3.2,3,19.5
1009,Manu Ginobili,SG,30,SAS,74,23,2299,7.1,15.4,0.46,2.4,6.1,0.401,4.7,9.3,0.499,6,6.9,0.86,1,4.6,5.5,5.2,1.7,0.5,3.1,2.7,22.6
1010,Manute Bol,C,29,PHI,71,2,1267,1.4,3.6,0.383,0,0.3,0,1.4,3.4,0.412,0.3,0.7,0.462,1.5,4.8,6.3,0.6,0.3,5.8,1.2,3.9,3.1
1011,Marc Gasol,C,29,MEM,59,59,1970,6.1,13,0.473,0,0.2,0.182,6.1,12.8,0.477,3.4,4.4,0.768,1.5,6.2,7.7,3.9,1.1,1.4,2,2.7,15.7
1012,Marc Jackson,C,26,GSW,48,35,1410,6.1,13,0.467,0.1,0.6,0.217,5.9,12.4,0.478,3.9,4.9,0.802,3,6.2,9.2,1.5,0.9,0.7,2.4,3.5,16.2
1013,Marcin Gortat,C,29,WAS,81,80,2655,6.2,11.4,0.542,0,0,1,6.2,11.4,0.541,2.1,3.1,0.686,2.7,7.7,10.4,1.9,0.6,1.6,1.7,2.7,14.5
1014,Marco Belinelli,PG,21,GSW,33,0,241,5.4,13.9,0.387,2.4,6.1,0.39,3,7.8,0.385,1,1.3,0.778,0.4,1.6,2.1,2.2,0.7,0,1.8,2.2,14.2
1015,Marco Belinelli,SF,27,SAS,80,25,2016,6,12.4,0.485,2.3,5.2,0.43,3.8,7.2,0.525,2,2.3,0.847,0.3,3.7,4,3.2,0.9,0.1,1.7,2.3,16.3
1016,Marcus Banks,PG,26,PHO,24,1,310,5.1,12.7,0.404,2.9,7.5,0.385,2.2,5.1,0.432,1.4,1.9,0.75,0.3,2,2.3,2.9,0.9,0.9,1.9,4.4,14.5
1017,Marcus Banks,PG,26,TOT,36,3,569,5.4,12.1,0.45,2.5,6.5,0.392,2.9,5.6,0.517,1.7,2.2,0.771,0.3,2.6,2.8,3.9,0.9,0.8,2.3,4.1,15.1
1018,Marcus Brown,PG,22,POR,21,0,184,5.5,13.7,0.4,2.5,6.3,0.406,2.9,7.4,0.395,2.5,3.7,0.684,0.8,2.2,2.9,3.9,1.6,0.4,2.5,5.1,16
1019,Marcus Camby,C,26,NYK,63,63,2127,5.1,9.8,0.524,0,0.1,0.125,5.1,9.7,0.53,2.5,3.8,0.667,3.3,8.9,12.2,0.9,1.1,2.3,1.1,3.5,12.8
1020,Marcus Camby,C,22,TOR,63,38,1897,7.1,14.8,0.482,0,0.3,0.143,7.1,14.5,0.488,3.5,5,0.693,2.5,5,7.5,1.8,1.3,2.5,2.5,4.1,17.7
1021,Marcus Camby,C,33,DEN,79,79,2758,3.7,8.3,0.45,0.1,0.3,0.3,3.7,8,0.455,1.9,2.6,0.708,3,10.5,13.5,3.4,1.1,3.7,1.5,2.8,9.4
1022,Marcus Fizer,PF,22,CHI,72,13,1580,6.3,14.7,0.43,0.2,0.9,0.256,6.1,13.8,0.442,2.7,3.7,0.727,1.7,5.4,7.1,1.7,0.7,0.4,2.8,4,15.6
1023,Marcus Liberty,SF,23,DEN,75,13,1527,6.5,14.6,0.443,0.4,1.2,0.34,6.1,13.5,0.452,3.1,4.2,0.728,3.4,3.9,7.3,1.4,1.6,0.7,2.1,3.9,16.5
1024,Marcus Morris,SF,24,PHO,82,1,1800,5.8,13,0.442,2,5.2,0.381,3.8,7.8,0.483,2.4,3.2,0.761,1.7,4.7,6.4,1.8,1.4,0.4,1.9,3.1,15.9
1025,Marcus Thornton,SG,26,TOT,72,27,1741,5.2,13.2,0.394,2.3,6.5,0.345,3,6.7,0.443,1.9,2.3,0.804,1.2,2.9,4.1,1.6,1.2,0.2,1.4,2.3,14.5
1026,Marcus Williams,PG,22,NJN,53,7,854,4.7,12.4,0.379,2.3,6,0.38,2.4,6.4,0.377,1.6,2,0.787,0.6,3.7,4.3,5.9,1.1,0.1,3.2,2.2,13.2
1027,Mardy Collins,SG,23,NYK,46,8,634,3.2,9.9,0.326,0.5,1.8,0.25,2.8,8.1,0.343,1.3,2.2,0.605,1.1,3.2,4.3,5.1,1.4,0.5,3.2,3.2,8.2
1028,Mario Chalmers,PG,27,MIA,73,73,2178,4.2,9.3,0.454,1.4,3.7,0.385,2.8,5.5,0.5,2,2.7,0.742,0.7,2.9,3.5,5.9,2,0.3,2.7,3.5,11.8
1029,Mario Elie,SG,37,PHO,68,67,1506,2.5,5.9,0.423,0.9,2.4,0.36,1.6,3.5,0.466,1.3,1.6,0.797,0.9,2.8,3.7,3.1,1.4,0.3,1.4,2.7,7.1
1030,Mario Elie,SF,33,HOU,78,77,2687,3.9,7.8,0.497,1.6,3.8,0.42,2.3,4,0.572,2.8,3.1,0.896,0.8,2.3,3.1,4.2,1.2,0.2,1.8,2.7,12.2
1031,Mario Elie,SG,28,GSW,79,32,1677,4.7,9.1,0.521,0.5,1.5,0.329,4.3,7.6,0.559,3.3,3.9,0.852,1.5,3.4,4.9,3.7,1.5,0.3,1.8,3.4,13.3
1032,Mario West,SG,23,ATL,64,2,269,2.8,6.6,0.429,0,0.5,0,2.8,6,0.467,2.3,3.5,0.654,3.5,2.9,6.4,1.7,1.6,0.5,1.2,8.2,7.9
1033,Mark Acres,C,29,ORL,68,6,926,3,5.9,0.517,0,0.1,0.333,3,5.8,0.52,2,2.6,0.761,3.8,6,9.8,0.9,1,0.6,1.3,5.4,8.1
1034,Mark Aguirre,SF,32,DET,75,12,1582,7.7,17.9,0.431,0.3,1.6,0.211,7.4,16.3,0.453,3.6,5.2,0.687,1.5,3.8,5.4,2.9,1.2,0.3,2.4,3.9,19.4
1035,Mark Blount,C,25,BOS,64,50,1098,3.3,6.6,0.505,0,0,,3.3,6.6,0.505,1.5,2.2,0.697,3.2,4.4,7.6,1,1.3,2.5,2,6,8.1
1036,Mark Blount,C,32,MIA,69,46,1542,5.6,12,0.462,0.4,1,0.386,5.2,11,0.469,2.1,3.2,0.638,1.6,4.5,6.1,1,0.8,0.8,1.6,3.1,13.6
1037,Mark Bradtke,C,28,PHI,36,0,251,3.6,8.3,0.431,0,0,,3.6,8.3,0.431,1.3,1.9,0.692,3.7,6,9.8,1,0.7,0.7,1.3,4.9,8.5
1038,Mark Bryant,PF,31,PHO,41,18,1018,5.4,9.7,0.553,0,0,,5.4,9.7,0.553,2.7,3.8,0.704,2.4,5.1,7.5,1.7,0.8,0.2,1.6,4.8,13.4
1039,Mark Bryant,PF,26,POR,56,0,800,4.3,8.9,0.48,0,0.1,0,4.3,8.8,0.487,1.8,2.7,0.667,3.9,5.1,9,1.8,1.2,0.4,1.4,4.7,10.4
1040,Mark Davis,SF,23,PHI,75,17,1705,5.3,11.3,0.469,0.5,2,0.258,4.8,9.3,0.514,2.4,3.5,0.673,2.9,3.9,6.8,2.9,1.8,0.7,2.5,4.9,13.5
1041,Mark Eaton,C,35,UTA,81,81,2023,1.9,4.3,0.446,0,0,,1.9,4.3,0.446,0.9,1.5,0.598,2.7,6.1,8.7,0.7,0.6,3.6,1.1,4.3,4.7
1042,Mark Hendrickson,PF,22,PHI,29,1,301,3.8,9.2,0.416,0.4,1.4,0.25,3.5,7.8,0.446,2.2,3.1,0.692,4.2,6.8,11,0.4,1.2,0.5,1.7,3.8,10.2
1043,Mark Jackson,PG,35,NYK,29,28,786,3.4,8.2,0.411,0.6,1.9,0.31,2.8,6.3,0.442,0.4,0.8,0.529,1,4.5,5.5,7.5,1,0,2.7,2.6,7.8
1044,Mark Jackson,PG,31,IND,30,30,1053,3.3,7.8,0.427,0.6,1.9,0.316,2.7,5.8,0.465,2,2.6,0.766,0.7,3.6,4.2,10.1,1.6,0.1,3.5,1.9,9.3
1045,Mark Jackson,PG,31,DEN,52,52,2001,3.5,8.1,0.425,0.9,2.2,0.397,2.6,6,0.435,2,2.4,0.801,1.3,3.6,4.9,11.5,0.9,0.2,3.1,1.9,9.7
